,event_id,classification_type,classification,period,game_clock,shot_clock,
0,215004404,dribble-hand-off,FALSE,1,11:55,12.12,
1,215004404,dribble-hand-off,FALSE,1,11:51,10.72,
2,2150044021,dribble-hand-off,FALSE,1,8:52,9.5,
3,2150044021,dribble-hand-off,TRUE,1,8:51,8.62,
4,2150044024,dribble-hand-off,FALSE,1,8:10,15.37,
5,2150044026,dribble-hand-off,TRUE,1,7:39,16.66,
6,2150044037,dribble-hand-off,FALSE,1,6:33,6.72,
7,2150044040,dribble-hand-off,TRUE,1,6:24,17.44,
8,2150044040,dribble-hand-off,TRUE,1,6:24,16.91,
9,2150044046,dribble-hand-off,FALSE,1,6:11,12.46,
10,2150044049,dribble-hand-off,FALSE,1,5:33,17.05,
11,2150044061,dribble-hand-off,TRUE,1,5:09,17.15,
12,2150044061,dribble-hand-off,TRUE,1,5:04,12.39,
13,2150044063,dribble-hand-off,TRUE,1,4:49,13.54,
14,2150044064,dribble-hand-off,FALSE,1,4:34,15.32,
15,2150044078,dribble-hand-off,FALSE,1,2:25,13.44,
16,2150044078,dribble-hand-off,FALSE,1,2:24,12.52,
17,2150044091,dribble-hand-off,TRUE,1,1:50,16.86,
18,2150044091,dribble-hand-off,FALSE,1,1:47,13.94,
19,21500440100,dribble-hand-off,FALSE,1,1:40,11.07,
20,21500440100,dribble-hand-off,TRUE,1,1:32,9.19,
21,21500440103,dribble-hand-off,TRUE,1,1:20,18.71,
22,21500440104,dribble-hand-off,TRUE,1,0:56,12.97,
23,21500440106,dribble-hand-off,FALSE,1,0:35,18.55,
24,21500440120,dribble-hand-off,TRUE,2,11:53,24,
25,21500440126,dribble-hand-off,FALSE,2,10:46,16.67,
26,21500440126,dribble-hand-off,TRUE,2,10:45,15.59,
27,21500440128,dribble-hand-off,FALSE,2,10:34,16.77,
28,21500440129,dribble-hand-off,FALSE,2,10:23,3.67,
29,21500440140,dribble-hand-off,TRUE,2,9:39,9.52,
30,21500440142,dribble-hand-off,FALSE,2,9:29,17.2,
31,21500440151,dribble-hand-off,FALSE,2,8:45,8.6,
32,21500440158,dribble-hand-off,FALSE,2,8:25,0,
33,21500440160,dribble-hand-off,TRUE,2,8:02,11.32,
34,21500440160,dribble-hand-off,TRUE,2,7:59,8.2,
35,21500440167,dribble-hand-off,FALSE,2,7:38,7.11,
36,21500440173,dribble-hand-off,TRUE,2,7:25,20.1,
37,21500440183,dribble-hand-off,FALSE,2,7:05,18.97,
38,21500440193,dribble-hand-off,TRUE,2,5:49,3.01,
